code,economy,year,Perceived opportunities,Perceived capabilities,Fear of failure rate *,Entrepreneurial intentions,TEA,Established Business Ownership,Financing for entrepreneurs,Governmental support and policies,,
20,Egypt,2024,61.11,60.45,52.78,39.21,5.15,3.29,4.03,3.41,,
962,Jordan,2024,52.66,72.26,45.63,52.45,21.13,4.8,4.32,4.93,,
212,Morocco,2024,62.57,74.64,52.31,15.05,12.52,2.66,3.52,4.89,,
968,Oman,2024,73.81,70.08,33.18,41.55,9.17,4.42,5.32,6.11,,
974,Qatar,2024,66.41,64.29,43.71,60.79,7.65,3.25,4.83,5.22,,
966,Saudi Arabia,2024,94.97,92.63,58.03,35.85,26.39,19.42,6.72,6.81,,
971,UAE,2024,71.94,67.82,48.64,40.92,13.57,3.09,6.83,7.54,,
962,Jordan,2023,47.65,73.22,52.13,46.97,15.7,7.2,4.25,4.95,,
212,Morocco,2023,70.73,68.17,32.62,23.44,6.29,6.84,3.72,5.72,,
968,Oman,2023,68.74,72.87,38.05,66.05,10.64,3.18,4.71,5.88,,
974,Qatar,2023,68.68,68.02,42.67,47.4,14.26,4.41,5.14,5.75,,
966,Saudi Arabia,2023,93.21,90.82,60.81,38.47,25.34,13.59,6.47,6.57,,
20,Egypt,2022,63.71,62.76,50.64,47.26,6.62,2.6,4.22,4.25,,
212,Morocco,2022,62.49,63.33,44.44,37.25,4.24,4.12,4.18,5.23,,
968,Oman,2022,75.66,57.63,33.25,44.3,11.67,4.08,3.96,4.31,,
974,Qatar,2022,80.97,64.05,43,43.61,10.7,3.86,4.84,5.23,,
966,Saudi Arabia,2022,89.5,88.13,63.34,31.75,19.24,9.73,6.39,6.85,,
971,UAE,2022,72.16,71.66,39.18,44.46,25.52,4.53,7.18,7.47,,
20,Egypt,2021,73.24,65.79,53.03,55.29,9.21,3.56,4.27,4.55,,
212,Morocco,2021,64.13,61.48,35.47,43.34,6.09,4.91,3.59,4.76,,
968,Oman,2021,67.7,59.17,24.63,53.19,12.7,2.84,3.83,4.81,,
974,Qatar,2021,73.79,70.91,38.18,50.37,15.87,6.07,4.6,5.2,,
966,Saudi Arabia,2021,95.38,90.51,53.61,18.02,19.62,5.33,6.7,6.48,,
971,UAE,2021,73.47,65.12,49.72,35.86,16.51,6.4,6.43,6.99,,
20,Egypt,2020,65.7,56.1,41.6,55.7,11.3,5.2,4.55,4.55,,
212,Morocco,2020,57.3,63.4,38.7,48.7,7.1,6.8,3.87,4.65,,
968,Oman,2020,83.8,64.5,42.8,56.5,16,2.5,5,5.17,,
974,Qatar,2020,72.3,68.2,41.3,45.6,17.2,6.1,5.17,5.45,,
966,Saudi Arabia,2020,90.5,86.4,51.6,25,17.3,5.1,5.7,5.9,,
971,UAE,2020,62.1,54.7,47.1,29.3,15.4,2.5,5.18,6.35,,
20,Egypt,2019,73.53,67.26,54.79,61.58,6.67,1.5,3.43,4.35,,
962,Jordan,2019,40.57,61.72,54.35,29.05,9.11,6.55,5.05,4.85,,
212,Morocco,2019,57.66,62.37,42.52,41.93,11.4,7.89,4.33,4.02,,
968,Oman,2019,72.31,56.32,40.78,62.91,6.94,2,5.45,4.58,,
974,Qatar,2019,75.59,75.47,45.17,45.25,14.69,2.96,3.78,5.8,,
966,Saudi Arabia,2019,73.8,83,41.78,32.32,13.96,5.35,4,5.83,,
971,UAE,2019,66.1,62.16,41.73,38.5,16.41,6.96,5.05,6.2,,
